1,521524,0.25
2,157248,0.08
3,1309477,0.50
4,389440,0.21
5,916537,0.38
6,833583,0.38
7,789267,0.33
8,1042447,0.46
9,577535,0.25
10,667986,0.38
11,542586,0.25
12,580663,0.29
13,200114,0.12
14,955460,0.46
15,734950,0.29
1,541175,0.33
2,650309,0.38
3,355750,0.17
4,587854,0.21
5,711150,0.46
6,186698,0.08
7,401257,0.21
8,297636,0.12
9,679441,0.33
10,448587,0.25
11,219456,0.12
12,173214,0.12
13,358175,0.25
14,451545,0.25
15,454437,0.33
1,297862,0.12
2,359395,0.25
3,618212,0.38
4,288346,0.17
5,308124,0.17
6,539399,0.21
7,90417,0.08
8,217331,0.12
9,514472,0.29
10,820652,0.46
11,31801,0.08
12,668447,0.29
13,629153,0.33
14,703263,0.38
15,465253,0.21
1,211716,0.12
2,391985,0.21
3,909561,0.38
4,691138,0.38
5,206934,0.17
6,176307,0.08
7,73613,0.08
8,138292,0.17
9,684425,0.29
10,166276,0.17
11,197912,0.12
12,871326,0.42
13,209902,0.12
14,444533,0.25
15,467732,0.25
1,88319,0.12
2,133752,0.08
3,691205,0.50
4,519165,0.33
5,418392,0.33
6,325951,0.17
7,373151,0.21
8,378333,0.33
9,678239,0.42
10,309891,0.21
11,74626,0.08
12,598155,0.33
13,30910,0.12
14,393733,0.25
15,677979,0.42
1,195889,0.12
2,983938,0.50
3,329167,0.17
4,485551,0.25
5,814758,0.33
6,343333,0.21
7,889813,0.46
8,283409,0.17
9,378517,0.25
10,620979,0.33
11,859445,0.50
12,184443,0.08
13,850202,0.46
14,242600,0.12
15,813164,0.46
1,222981,0.08
2,359818,0.21
3,601848,0.38
4,606191,0.33
5,613368,0.29
6,334026,0.25
7,463037,0.21
8,426985,0.17
9,670357,0.42
10,1092909,0.50
11,848605,0.46
12,814995,0.42
13,73257,0.08
14,542873,0.29
15,262004,0.12
1,484218,0.21
2,313097,0.12
3,764546,0.46
4,936262,0.46
5,321842,0.25
6,701690,0.46
7,691846,0.42
8,1088165,0.50
9,784842,0.46
10,298618,0.21
11,43463,0.08
12,971938,0.50
13,129372,0.08
14,659446,0.38
15,674296,0.42
1,144239,0.08
2,442786,0.38
3,463261,0.25
4,450544,0.33
5,35169,0.08
6,296095,0.21
7,232153,0.17
8,211042,0.08
9,396629,0.25
10,475612,0.33
11,469047,0.25
12,117832,0.12
13,240366,0.25
14,401022,0.17
15,441091,0.38
1,582817,0.38
2,652539,0.38
3,314064,0.21
4,70189,0.08
5,759681,0.29
6,459248,0.21
7,323468,0.17
8,922023,0.50
9,317802,0.12
10,419657,0.21
11,122287,0.08
12,323665,0.12
13,264244,0.17
14,402666,0.25
15,212694,0.12
1,471213,0.33
2,261313,0.17
3,372272,0.29
4,669588,0.29
5,687083,0.33
6,339257,0.17
7,91867,0.08
8,432488,0.33
9,263847,0.12
10,837335,0.46
11,440419,0.38
12,323572,0.17
13,418998,0.21
14,283280,0.21
15,409445,0.29
1,242377,0.12
2,300538,0.12
3,121969,0.08
4,328485,0.29
5,308661,0.21
6,224709,0.21
7,542247,0.33
8,637349,0.50
9,629927,0.38
10,480224,0.29
11,238637,0.17
12,419497,0.33
13,114471,0.12
14,229337,0.17
15,619261,0.33
1,338540,0.21
2,627125,0.42
3,508963,0.33
4,411215,0.25
5,276803,0.12
6,816168,0.50
7,240166,0.08
8,479853,0.29
9,549925,0.42
10,481046,0.29
11,574688,0.42
12,348790,0.25
13,537834,0.33
14,143371,0.08
15,540386,0.42
1,375580,0.25
2,208813,0.12
3,899095,0.50
4,637583,0.33
5,445876,0.25
6,596972,0.38
7,334672,0.17
8,784589,0.42
9,746658,0.38
10,276691,0.08
11,446254,0.17
12,792285,0.46
13,303796,0.21
14,687303,0.50
15,173198,0.12
1,349304,0.12
2,219893,0.08
3,250725,0.12
4,656598,0.29
5,456546,0.25
6,699620,0.38
7,277342,0.08
8,840912,0.50
9,277077,0.12
10,766133,0.46
11,528075,0.21
12,587846,0.29
13,1091872,0.42
14,978136,0.50
15,317364,0.17
1,506923,0.33
2,99192,0.08
3,781463,0.42
4,792499,0.50
5,223123,0.08
6,559597,0.25
7,441111,0.29
8,209691,0.21
9,402678,0.25
10,840581,0.50
11,116564,0.08
12,633929,0.42
13,246031,0.17
14,462960,0.25
15,596932,0.29
1,241258,0.12
2,999118,0.50
3,615475,0.42
4,258870,0.17
5,622474,0.50
6,555153,0.38
7,761195,0.42
8,529820,0.46
9,688803,0.38
10,365192,0.21
11,154057,0.12
12,660225,0.38
13,284841,0.25
14,494069,0.33
15,112051,0.08
1,675454,0.42
2,466886,0.29
3,419261,0.21
4,661322,0.33
5,403928,0.25
6,39169,0.08
7,215628,0.17
8,154935,0.08
9,568859,0.29
10,208534,0.12
11,118079,0.08
12,226111,0.17
13,766996,0.42
14,307228,0.21
15,383466,0.29
1,144952,0.08
2,191405,0.08
3,865301,0.42
4,189742,0.08
5,674589,0.33
6,507268,0.33
7,554979,0.29
8,1001490,0.42
9,431092,0.21
10,735520,0.33
11,737785,0.33
12,207852,0.08
13,884427,0.46
14,257591,0.17
15,143042,0.17
1,325608,0.21
2,807486,0.50
3,571315,0.38
4,646671,0.29
5,552333,0.38
6,497840,0.33
7,815405,0.50
8,249493,0.08
9,364519,0.21
10,391390,0.29
11,871384,0.38
12,415252,0.21
13,757297,0.42
14,842657,0.46
15,308898,0.17
1,341803,0.25
2,204531,0.12
3,515335,0.29
4,614806,0.25
5,567268,0.29
6,865524,0.46
7,589042,0.38
8,473113,0.25
9,152682,0.12
10,140538,0.12
11,375415,0.29
12,286509,0.21
13,273129,0.17
14,283778,0.21
15,956825,0.50
1,950551,0.46
2,923041,0.50
3,342330,0.12
4,404911,0.33
5,778835,0.42
6,783001,0.50
7,688545,0.33
8,174745,0.12
9,717775,0.42
10,502897,0.25
11,635107,0.42
12,1047472,0.50
13,286244,0.12
14,955160,0.42
15,383660,0.21
1,440950,0.42
2,303008,0.29
3,413401,0.33
4,198430,0.12
5,548908,0.50
6,328220,0.21
7,542009,0.33
8,519975,0.29
9,321708,0.29
10,441230,0.29
11,552175,0.33
12,279129,0.21
13,146449,0.12
14,269376,0.21
15,602933,0.42
1,731684,0.46
2,757194,0.46
3,733438,0.46
4,309619,0.21
5,659354,0.33
6,753999,0.46
7,151950,0.08
8,822015,0.42
9,397370,0.25
10,239748,0.21
11,656054,0.42
12,347939,0.21
13,748848,0.38
14,943598,0.50
15,531965,0.33
1,705509,0.33
2,945175,0.50
3,221456,0.17
4,423356,0.38
5,660494,0.46
6,695944,0.42
7,290303,0.12
8,939232,0.42
9,636576,0.42
10,54037,0.08
11,387841,0.21
12,379406,0.25
13,466311,0.29
14,661307,0.38
15,587298,0.46
1,673724,0.46
2,732128,0.46
3,440471,0.29
4,203941,0.21
5,528814,0.33
6,497866,0.21
7,312630,0.29
8,219728,0.17
9,616458,0.46
10,737162,0.42
11,120314,0.21
12,366917,0.21
13,193288,0.17
14,449925,0.38
15,415007,0.29
1,716487,0.33
2,746382,0.38
3,1068733,0.50
4,572753,0.29
5,396389,0.25
